Id,'Gas_Connection','Fireplace','Entrance_Hall','Kitchenette','Equipped',Garage_Type,'Furnished','Drainage','Telephone','Guest_Bathroom','BBQ_Area','Living_Room','Nearby_Parks','Solarium',Commercial_Use,Province,'Internal_Garden',Garages,'Electricity','Patio','Children_Playground',Type,Number_Bathrooms,'Green_Areas','Electric_Doorman',Construction_Area_m2,'Intercom','Near_Sea','Sauna','Cinema_Room','Cleaning_Service','Terrace',Construction_Area,'Sports_Area','Security_System',Location,'Water_Heater',Professional_Use,Match,'Club_House','Internal_Park','Laundry_Room','Nearby_Schools','Balcony','Attic','Oceanfront','Security_Guard',Natural_Light,'Swimming_Pool','Electric_Fence',Advertiser,'Air_Conditioning','Hall','Nearby_Shopping_Centers','Kitchen','Water','Basement','Independent_Bathroom','Walk_in_Closet',Age,Number_Floors,'Daily_Dining_Room','Grill','Closet',Publication_Date,'Internet','Sauna_Area',Bedrooms,Pets,'Kitchen_with_Cabinets','Service_Room','Garden','Storage_Room',Beach_Resort,'Cable','Gym','Jacuzzi','Independent_Entrance','Handicap_Access','Dining_Room','Office',Total_Area_m2,'Heating',District,'Daycare',Property_Condition,'Internet_Room','Service_Bathroom',Price
18,0,Not specified,Not specified,Not specified,Not specified,Lineales,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Lima,Not specified,1,1,Not specified,Not specified,Casa,3,Not specified,Not specified,300,Not specified,Not specified,Not specified,Not specified,0,Not specified,300.00 m2,Not specified,0,Comas-Lima,Not specified,Not specified,0.0,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,0,Luminoso,Not specified,Not specified,ADA GALINDO,Not specified,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,1,2.0,Not specified,Not specified,Not specified,Publicado el 13.09.19,0,Not specified,3,Si,Not specified,Not specified,Not specified,Not specified,Nulo,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,156,Not specified,Comas,Not specified,Muy bueno,Not specified,Not specified,150000
19,0,0,0,0,0,Not specified,0,0,0,0,1,0,0,0,Not specified,Lima,0,2,0,0,0,Casa de Playa,4,0,0,280,1,0,0,0,0,0,280.00 m2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395000
20,0,0,0,0,0,Paralelas,0,0,1,0,0,0,1,0,Not specified,Lima,0,3,1,0,0,Casa,5,0,0,500,0,0,0,0,0,0,500.00 m2,0,0,SantiagoDeSurco-Lima,1,Not specified,0.0,0,0,1,1,1,0,0,0,Muy luminoso,0,0,Century 21 Avanza,0,0,1,1,1,0,0,0,4,2.0,0,0,0,Publicado el 18.09.19,0,0,5+,Si,0,1,1,0,Nulo,1,0,0,0,0,1,1,614,0,SantiagoDeSurco,0,Excelente,0,1,790000
21,Not specified,0,0,0,0,Not specified,0,0,Not specified,0,0,1,Not specified,0,Not specified,Lima,1,4,Not specified,1,0,Casa de campo,3,0,0,346,0,Not specified,0,0,Not specified,1,346.00 m2,0,Not specified,Pachacamac-Lima,0,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,Not specified,Not specified,0,0,No disponible,0,1,Not specified,1,Not specified,0,0,0,1,1.0,1,1,0,Publicado el 09.09.19,Not specified,0,4,Si,0,1,1,0,Nulo,Not specified,0,0,Not specified,Not specified,1,0,5962,0,Pachacamac,0,Muy bueno,0,1,1430880
22,0,Not specified,Not specified,0,Not specified,NoTiene,Not specified,Not specified,0,0,Not specified,0,Not specified,Not specified,Not specified,Ayacucho,0,0,1,1,Not specified,Casa,1,Not specified,Not specified,300,Not specified,Not specified,Not specified,Not specified,0,0,300.00 m2,Not specified,0,Huanta-Ayacucho,Not specified,Not specified,0.0,Not specified,Not specified,0,Not specified,0,0,Not specified,0,Luminoso,Not specified,Not specified,PG Asesora Inmobiliaria,Not specified,0,Not specified,0,1,0,0,0,3,2.0,0,Not specified,0,Publicado el 11.09.19,0,Not specified,5+,Si,Not specified,0,Not specified,0,Nulo,0,Not specified,Not specified,Not specified,Not specified,0,0,932,Not specified,Huanta,Not specified,Not specified,Not specified,0,160000
23,0,0,Not specified,0,0,NoTiene,0,1,0,0,Not specified,0,1,Not specified,Not specified,Lima,0,0,1,0,Not specified,Casa,1,Not specified,0,170,0,0,0,Not specified,0,0,170.00 m2,Not specified,0,Ate-Lima,0,Not specified,0.0,Not specified,Not specified,1,1,0,0,0,0,Not specified,Not specified,0,NG SOLUCIONES ,0,1,1,1,1,0,0,0,5,1.0,0,0,0,Publicado el 12.08.19,0,Not specified,3,Si,0,0,Not specified,0,Nulo,0,Not specified,0,0,0,1,0,180,0,Ate,Not specified,Not specified,Not specified,0,185000
24,0,Not specified,Not specified,0,Not specified,Paralelas,Not specified,Not specified,1,1,Not specified,0,1,Not specified,Not specified,Lima,0,1,1,0,Not specified,Casa en condominio,5,Not specified,Not specified,353,Not specified,1,Not specified,Not specified,0,0,353.20 m2,Not specified,0,MagdalenaDelMar-Lima,Not specified,Not specified,0.0,Not specified,Not specified,0,1,0,0,0,0,Luminoso,Not specified,Not specified,No disponible,Not specified,0,1,1,1,0,0,0,4,2.0,0,Not specified,0,Publicado el 05.09.19,0,Not specified,4,Si,Not specified,1,Not specified,0,Nulo,0,Not specified,Not specified,0,0,1,0,165,Not specified,MagdalenaDelMar,Not specified,Bueno,Not specified,1,390000
25,0,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,0,1,Not specified,0,1,Not specified,Si,Lima,1,5,1,1,Not specified,Casa,2,Not specified,Not specified,150,Not specified,0,Not specified,Not specified,0,1,150.00 m2,Not specified,0,LosOlivos-Lima,Not specified,Not specified,0.0,Not specified,Not specified,1,1,0,0,0,0,Muy luminoso,Not specified,Not specified,No disponible,Not specified,0,1,1,1,0,0,0,3,2.0,0,Not specified,0,Publicado el 16.08.19,0,Not specified,3,Si,Not specified,0,Not specified,1,Nulo,0,Not specified,Not specified,0,0,1,0,240,Not specified,LosOlivos,Not specified,Muy bueno,Not specified,0,440000
26,Not specified,Not specified,1,0,Not specified,Paralelas,Not specified,Not specified,Not specified,0,0,1,Not specified,0,Not specified,Lima,0,5,Not specified,0,0,Casa,5,0,Not specified,629,Not specified,Not specified,Not specified,0,Not specified,1,629.00 m2,0,Not specified,LaMolina-Lima,Not specified,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,Not specified,Not specified,1,Not specified,No disponible,Not specified,1,Not specified,1,Not specified,0,0,0,8,2.0,1,Not specified,0,Publicado el 19.08.19,Not specified,0,4,Si,Not specified,1,1,0,Nulo,Not specified,0,Not specified,Not specified,Not specified,1,1,1249,Not specified,LaMolina,0,Remodelado,0,1,1390000
27,Not specified,0,0,0,0,Not specified,1,0,Not specified,0,0,1,Not specified,0,Not specified,Lima,1,5,Not specified,1,0,Casa,3,0,0,420,0,Not specified,0,0,Not specified,1,420.00 m2,0,Not specified,LaMolina-Lima,0,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,Not specified,Not specified,0,0,Hogar & Estilo Inmobiliaria,0,1,Not specified,1,Not specified,0,0,1,4,2.0,1,1,0,Publicado el 16.04.19,Not specified,0,4,Si,0,1,1,0,Nulo,Not specified,0,0,Not specified,Not specified,1,0,500,0,LaMolina,0,Bueno,0,1,498000
28,0,Not specified,Not specified,0,Not specified,Paralelas,Not specified,Not specified,0,1,Not specified,0,0,Not specified,Si,Piura,0,4,1,0,Not specified,Casa,4,Not specified,Not specified,311,Not specified,0,Not specified,Not specified,0,0,311.00 m2,Not specified,0,Piura-Piura,Not specified,Si,0.0,Not specified,Not specified,1,1,0,0,0,0,Luminoso,Not specified,Not specified,Inmobiliaria INUE,Not specified,1,1,0,1,1,0,0,1,2.0,0,Not specified,0,Publicado el 23.08.19,0,Not specified,5+,Si,Not specified,0,Not specified,1,Nulo,0,Not specified,Not specified,0,0,1,0,320,Not specified,Piura,Not specified,Bueno,Not specified,0,107120
29,Not specified,0,1,0,0,Paralelas,0,0,Not specified,1,0,1,Not specified,0,Not specified,Lima,1,5,Not specified,1,0,Casa,5,0,0,1000,0,Not specified,0,0,Not specified,1,1000.00 m2,0,Not specified,SantiagoDeSurco-Lima,0,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,Not specified,Not specified,1,0,No disponible,0,1,Not specified,1,Not specified,0,0,0,1,2.0,1,1,0,Publicado el 10.09.19,Not specified,0,5+,Si,0,1,0,0,Nulo,Not specified,0,0,Not specified,Not specified,1,0,2525,0,SantiagoDeSurco,0,Remodelado,0,1,3900000
30,1,0,Not specified,0,0,NoTiene,0,1,1,0,Not specified,0,1,Not specified,Not specified,Lambayeque,0,0,1,0,Not specified,Casa,3,Not specified,0,190,0,0,0,Not specified,0,0,190.00 m2,Not specified,1,Chiclayo-Lambayeque,0,Not specified,0.0,Not specified,Not specified,1,1,0,0,0,1,Luminoso,Not specified,0,No disponible,0,1,1,1,1,0,0,0,5,3.0,0,0,0,Publicado el 08.09.19,1,Not specified,4,Si,0,0,Not specified,0,Nulo,1,Not specified,0,0,0,1,1,70,0,Chiclayo,Not specified,Excelente,Not specified,1,100000
31,1,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,1,1,Not specified,0,1,Not specified,Not specified,Lima,0,1,1,0,Not specified,Casa,3,Not specified,Not specified,300,Not specified,0,Not specified,Not specified,0,0,300.00 m2,Not specified,0,SanMartinDePorres-Lima,Not specified,Not specified,0.0,Not specified,Not specified,0,1,0,1,0,0,Luminoso,Not specified,Not specified,No disponible,Not specified,0,1,1,1,0,0,0,5,3.0,1,Not specified,0,Publicado el 19.08.19,1,Not specified,5+,Si,Not specified,1,Not specified,0,Nulo,1,Not specified,Not specified,0,0,1,0,172,Not specified,SanMartinDePorres,Not specified,A Remodelar,Not specified,0,110000
32,0,0,1,0,0,Paralelas,0,0,1,1,0,0,1,0,Si,LaLibertad,0,3,1,0,0,Casa,5,1,1,416,1,1,0,0,0,0,416.00 m2,0,0,VictorLarcoHerrera-LaLibertad,0,Si,0.0,0,0,0,1,1,1,0,1,Muy luminoso,1,0,No disponible,0,0,1,1,1,0,0,0,7,3.0,1,0,0,Publicado el 03.09.19,0,0,5+,Si,0,1,1,1,Nulo,0,0,1,0,1,1,0,416,0,VictorLarcoHerrera,0,Excelente,0,1,650000
33,Not specified,Not specified,1,0,Not specified,NoTiene,Not specified,Not specified,Not specified,1,0,1,Not specified,0,Not specified,Lima,0,0,Not specified,0,0,Casa,5,0,Not specified,500,Not specified,Not specified,Not specified,0,Not specified,1,500.00 m2,0,Not specified,LaMolina-Lima,Not specified,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,Not specified,Not specified,1,Not specified,No disponible,Not specified,0,Not specified,1,Not specified,0,0,0,3,2.0,0,Not specified,0,Publicado el 08.09.19,Not specified,0,4,Si,Not specified,1,1,0,Nulo,Not specified,0,Not specified,Not specified,Not specified,1,0,1274,Not specified,LaMolina,0,Not specified,0,0,1050000
34,Not specified,Not specified,Not specified,0,Not specified,Paralelas,Not specified,Not specified,Not specified,0,Not specified,1,Not specified,Not specified,Not specified,Lima,0,2,Not specified,0,Not specified,Casa,2,Not specified,Not specified,265,Not specified,Not specified,Not specified,Not specified,Not specified,1,265.00 m2,Not specified,Not specified,SantiagoDeSurco-Lima,Not specified,Not specified,0.0,Not specified,Not specified,1,Not specified,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,No disponible,Not specified,1,Not specified,1,Not specified,0,0,0,4,2.0,1,Not specified,0,Publicado el 28.08.19,Not specified,Not specified,3,Si,Not specified,1,Not specified,0,Nulo,Not specified,Not specified,Not specified,Not specified,Not specified,1,1,300,Not specified,SantiagoDeSurco,Not specified,Muy bueno,Not specified,1,730000
35,0,0,0,0,0,Paralelas,0,0,0,1,0,0,1,0,Si,Lima,0,2,1,0,0,Casa,5,1,0,384,1,0,0,0,0,0,384.00 m2,0,0,Lince-Lima,0,Si,0.0,0,0,0,1,0,0,0,0,Luminoso,0,0,FIDHEL INVESTMENT,0,0,1,1,1,0,0,0,3,3.0,1,0,0,Publicado el 01.08.19,1,0,5+,Si,0,1,0,0,Nulo,0,0,0,0,0,1,0,304,0,Lince,0,Muy bueno,0,1,780000
36,Not specified,1,0,0,0,Not specified,0,0,Not specified,0,0,1,Not specified,0,Not specified,Lima,1,5,Not specified,0,0,Casa,3,0,0,461,0,Not specified,0,0,Not specified,1,461.00 m2,0,Not specified,SantiagoDeSurco-Lima,0,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,Not specified,Not specified,0,0,No disponible,0,1,Not specified,1,Not specified,1,0,0,3,2.0,1,1,0,Publicado el 04.09.19,Not specified,0,5+,Si,0,1,1,0,Nulo,Not specified,0,0,Not specified,Not specified,1,1,1306,0,SantiagoDeSurco,0,Not specified,0,1,1600000
37,Not specified,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,0,Not specified,0,Not specified,Not specified,Not specified,Lima,0,2,Not specified,0,Not specified,Casa,4,Not specified,Not specified,220,Not specified,Not specified,Not specified,Not specified,Not specified,0,220.00 m2,Not specified,Not specified,MagdalenaDelMar-Lima,Not specified,Not specified,0.0,Not specified,Not specified,0,Not specified,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,SPACIO GRUPO INMOBILIARIO S.A.C.,Not specified,0,Not specified,1,Not specified,0,0,0,3,2.0,0,Not specified,0,Publicado el 13.09.19,Not specified,Not specified,3,Si,Not specified,0,Not specified,0,Nulo,Not specified,Not specified,Not specified,Not specified,Not specified,1,0,300,Not specified,MagdalenaDelMar,Not specified,Not specified,Not specified,0,1300000
38,0,0,Not specified,0,0,Separadas,0,1,0,1,Not specified,0,0,Not specified,Si,Lima,0,5,1,0,Not specified,Casa de campo,5,Not specified,0,3500,0,1,0,Not specified,0,0,3500.00 m2,Not specified,0,Mala-Lima,0,Si,0.0,Not specified,Not specified,0,0,1,0,0,0,Muy luminoso,Not specified,0,ALDO PANESI ,0,0,0,1,1,0,0,0,3,2.0,1,0,0,Publicado el 11.07.19,0,Not specified,5+,Si,0,1,Not specified,1,Nulo,0,Not specified,0,0,0,1,0,2385,0,Mala,Not specified,A Remodelar,Not specified,0,70000
39,Not specified,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,0,Not specified,0,1,Not specified,Not specified,Lima,1,2,Not specified,0,Not specified,Casa,3,Not specified,Not specified,270,Not specified,0,Not specified,Not specified,Not specified,1,270.00 m2,Not specified,Not specified,LaMolina-Lima,Not specified,Not specified,0.0,Not specified,Not specified,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,SPACIO GRUPO INMOBILIARIO S.A.C.,Not specified,0,0,0,Not specified,0,0,0,3,2.0,0,Not specified,0,Publicado el 13.09.19,Not specified,Not specified,3,Si,Not specified,0,Not specified,0,Nulo,Not specified,Not specified,Not specified,0,0,0,0,338,Not specified,LaMolina,Not specified,Not specified,Not specified,0,498000
40,Not specified,Not specified,1,0,Not specified,Paralelas,Not specified,Not specified,Not specified,0,0,1,Not specified,0,Not specified,Lima,1,5,Not specified,1,0,Casa,3,0,Not specified,300,Not specified,Not specified,Not specified,0,Not specified,1,300.00 m2,0,Not specified,LaMolina-Lima,Not specified,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,Not specified,Not specified,0,Not specified,No disponible,Not specified,1,Not specified,1,Not specified,0,0,1,3,2.0,1,Not specified,0,Publicado el 02.09.19,Not specified,0,3,Si,Not specified,1,1,0,Nulo,Not specified,0,Not specified,Not specified,Not specified,1,1,1350,Not specified,LaMolina,0,Not specified,0,1,1200000
41,0,0,1,0,1,Not specified,1,0,0,0,0,1,Not specified,0,Not specified,Lima,0,3,0,0,0,Casa de Playa,5,0,0,233,0,Not specified,0,0,0,1,233.00 m2,0,0,Asia-Lima,0,Not specified,0.0,0,0,1,Not specified,0,0,Not specified,1,Not specified,1,0,No disponible,0,1,Not specified,1,0,0,0,0,1,2.0,0,0,0,Publicado el 12.08.19,0,0,5+,Si,0,1,1,0,Palabritas,0,0,0,Not specified,Not specified,1,1,180,0,Asia,0,Muy bueno,0,1,400000
